id,Accuracy,tweet
940,1,"Sitting on the Tarmac in Salt Lake - hey @deltaairlines please plan ahead for your ""paperwork"" next time...  @SouthwestAir here I come."
2519,1,Thank you Carrie at @JetBlue Pittsburg for getting us closer seats to the front so we don't miss our flight to Ireland. #greatful
4308,1,Huge thanks to @JetBlue for donating plane tix as prizes for the #HuntsPointHustle. Don't miss out. Register now! http://t.co/7OQno3Sgw6
5315,1,"@Dulles_Airport @NFLFemale @Broncos don't let my plane leave! My limo driver locked his keys in his car! @SouthwestAir, hear my plea!"
5562,1,@BarackObama motorcade made us miss our @AlaskaAir flight from @BWI_Airport to @SeaTacAirport.  I guess we'll start our vacay tomorrow!
6554,1,@Sonray @AmericanAir We are no longer in a consumer-focused industry: http://t.co/h7yDyY1cYR #OnlyTheBottomLineMatters #BringBackThe80s
12941,1,@AmericanAir yup I hear ya. Just called to make sure so I don't miss my events.
13392,0,can flight 3611 just leave already @united jesus christ
14013,1,"@AlaskaAir CEO Brad Tilden told @SeattleRotary4 ""leave the environment in a better shape than you found it"". #backclimateaction."
14216,0,@SouthwestAir hey figure your stuff out. Us Omahan folk miss Brandon
14303,1,@JonahNRO @united Ugh
14505,1,@NKOTB @SouthwestAir I miss my NK's adventures sigh
16870,1,Don't miss it: Unlimited ice skating at the @SouthwestAir Rink for a family of five is __ priced this month! http://t.co/i9evppWSme
17068,1,@DallasLoveField 11/12/04 NDCC Event: Announcement that @SouthwestAir no longer passionately neutral about Wright http://t.co/k2MdjaMdg5
17848,0,"@AmericanAir should take note from @QuikTrip on how to treat customers, bcz @AmericanAir FAILS MISERABLY &amp;takes advantage of ppl"
18363,0,.@AmericanAir asking for a friend... Is it illegal or just frowned upon to masturbate on an airplane. #AmericanDream #askingforafriend
18717,1,Don't miss @AmericanAir Chairman and CEO Doug Parker at our Annual Meeting Event @BiltmoreHotel @beaconcouncil http://t.co/nbZ09aH619
20501,0,@united Why do you no longer let people with babies bored before most? #superdifficult #noprebored #hugeline #cryinginfant #impatientpeople
20641,1,"In-flight entertainment on @united: wah, wah. I miss @VirginAmerica + @DIRECTV #travel #airlines http://t.co/kdO2K8OuY1"
22070,1,@vanessrocks ugh! I hope @AmericanAir gets their act together so you guys can start your honeymoon!
22704,1,.@VirginAmerica I miss you in Philly. Blah airlines has already spent 6 hrs of my day (technically 30). Come back! http://t.co/KUuEQ7OOxm
23369,1,@JetBlue to my new fav airlines if want to leave a day before my scheduled date..what is the fee
23543,0,If I miss the @ericchurch concert because of @SouthwestAir ......
24008,1,"@jetblue Hey, if I miss a flight do I have to pay a fee to be reebooked onto the next flight. Thanks in advance! :)"
25286,1,"In flight satellite tv so I didn't have to miss game 1 of the WS. Thanks @VirginAmerica , go @SFGiants ! http://t.co/4Wsd8Pb8CW"
25386,0,Don't they know it is illegal to take photos inside a commercial plane? @AmericanAir @charlieisaacs
25624,1,Umm hey @united don__t leave. I have 6 min to go whole airport here in sfo... Help! :)
25971,1,.@JetBlue's first class-style Mint cabin has been so successful the airline now has a last-minute one-way fare of $1209. No longer cheap.
26107,1,@JetBlue  #TrickOrTweet _ Smell my feet Give me a free airplane seat 
27569,0,"@AmericanAir Paid seat upgrade with ""group 1"" which is false advertising. It's really group 5, isn't it? What a waste of money."
30571,1,"I miss @SouthwestAir! (@ American Airlines - @americanair in Kansas City, MO) https://t.co/12mST19Xiv"
30790,0,"Don't!!! Fly @AmericanAir They will ""Fuckup""Every Time. #poorservice #unreliable"
31119,0,@AmericanAir I don't understand why my status and seat class didn't transfer when switched flights. Was have told to pay for upgrade on BA.
31600,1,Actually there are no CLE-CVG flights RT @Browns: Taking a business trip to Cincinnati w/@united.  #DawgPound #CLEvsCIN
32061,0,@thejanedoze @VirginAmerica something smells fishy over there 
32112,1,"Travelling via @jetblue kicks ass!!! Headed home, y'all #texasbound http://t.co/yVBj9aIKLe"
32340,0,Maybe you should follow the lead of @SouthwestAir and put some HEART into this business @AmericanAir #americanairlinessucks
36203,1,Rain AND traffic? Yep pretty sure I'm going to miss my 7:30am @VirginAmerica flight to SFO. #anxiety
39044,0,"Awaiting UA 1582 from EWR to SFO. (at @United Club in Newark, NJ) https://t.co/VrEdXayklZ"
41935,0,@united CAN WE PLEASE LEAVE.
42038,1,Learning my lesson no more #AirCanada   I'm a #trueblue @JetBlue girl all the way.   JetBlue I miss you
43484,1,".@Qantas (domestic) flight canceled. Put on later flight. Middle seat. This is what flying without status feels like? I miss you, @united."
44502,0,s/o to @AmericanAir for messing up everything ((:
45712,1,.@AlaskaAir is updating its reward program w/o switching to a revenue-based system. Kudos! http://t.co/zICtzjuKQJ @smartertravel #TT
46340,0,so @jetblue canceled our return flight from our honeymoon and now we get to scramble to find a new flight OR cut our honeymoon short. ugh
47302,1,Hey @JetBlue been sitting on the tarmac at OHare for the past 40 minutes.  How do I get a credit?
